name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,first_name,second_name,id
Joshua_King_45,0,28,0,1,0,-2,1,0,19,5,1,0,45,0,0,331,1,0,0,1.6,18451,0,0,2019-04-13T14:00:00Z,4/13/2019 15:00,0,0,75,0,0,3,0,0,0,0,8,0,34,0,439324,4,0,3,5,0,17,2,-57299,12669,69968,66,FALSE,0,0,Joshua,King,11,3,129,2633,48,491.4,605.8,929,20,424,201.6,9,0,3,6.6,66,Joshua,King,45
Jermain_Defoe_46,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,331,0,0,0,0,18452,0,0,2019-04-13T14:00:00Z,4/13/2019 15:00,0,0,0,0,0,3,0,0,0,0,0,0,34,0,22322,0,0,0,5,0,0,0,-43,3,46,56,FALSE,0,0,Jermain,Defoe,0,0,4,22,2,0,3,23,0,12,2.6,0,0,0,0.4,56,Jermain,Defoe,46
Mathew_Ryan_47,0,19,0,0,0,10,0,0,16,0,0,0,47,0,0,302,0,2,0,1.1,18453,11.2,0,2019-04-16T18:45:00Z,4/16/2019 19:45,0,0,90,0,0,5,0,0,0,0,6,0,34,1,358894,0,0,0,2,0,0,1,148547,169400,20853,44,TRUE,0,0,Mathew,Ryan,0,0,85,2610,48,0,562.6,0,9,448,56.4,5,0,2,5.6,44,Mathew,Ryan,47
Lewis_Dunk_48,0,80,0,0,0,13,0,2,61,11.4,0,0,48,0,0,302,0,2,0,3.1,18455,13.8,1,2019-04-16T18:45:00Z,4/16/2019 19:45,0,0,90,0,0,5,0,0,0,0,9,0,34,0,265521,0,0,0,2,0,6,1,91684,117294,25610,44,TRUE,0,0,Lewis,Dunk,2,1,80,2701,49,121.6,683.6,194,6,498,100.3,6,1,4,4.1,44,Lewis,Dunk,48
Shane_Duffy_49,0,60,0,0,0,12,0,6,44,0.8,0,0,49,0,0,302,1,2,0,6.1,18457,28.8,0,2019-04-16T18:45:00Z,4/16/2019 19:45,0,0,90,0,0,5,0,0,0,0,9,0,34,0,694170,1,0,0,2,0,31,1,271971,284884,12913,48,TRUE,0,0,Shane,Duffy,5,2,103,2637,48,73.5,887.6,457,9,511,142,6,1,4,10.7,48,Shane,Duffy,49
Bruno_Saltor Grau_50,0,48,0,0,0,16,0,2,41,12.4,1,0,50,0,0,302,0,2,0,2.8,18459,16,1,2019-04-16T18:45:00Z,4/16/2019 19:45,0,0,90,0,0,5,0,0,0,0,4,0,34,0,18310,0,1,0,2,0,0,1,-163,121,284,44,TRUE,0,0,Bruno,Saltor Grau,0,1,33,799,11,78.5,130.8,14,4,165,22.3,3,0,2,0.3,44,Bruno,Saltor Grau,50
Ga�tan_Bong_51,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,302,0,0,0,0,18461,0,0,2019-04-16T18:45:00Z,4/16/2019 19:45,0,0,0,0,0,5,0,0,0,0,0,0,34,0,9136,0,0,0,2,0,0,0,266,420,154,44,TRUE,0,0,Gaëtan,Bong,0,0,42,1715,34,151.7,211.4,8,0,235,37,4,0,0,0.1,44,Gaëtan,Bong,51
Markus_Suttner_52,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,302,0,0,0,0,18463,0,0,2019-04-16T18:45:00Z,4/16/2019 19:45,0,0,0,0,0,5,0,0,0,0,0,0,34,0,260786,0,0,0,2,0,0,0,-1832,3787,5619,38,TRUE,0,0,Markus,Suttner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,38,Markus,Suttner,52
Ezequiel_Schelotto_53,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,302,0,0,0,0,18465,0,0,2019-04-16T18:45:00Z,4/16/2019 19:45,0,0,0,0,0,5,0,0,0,0,0,0,34,0,109648,0,0,0,2,0,0,0,-397,2387,2784,38,TRUE,0,0,Ezequiel,Schelotto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,38,Ezequiel,Schelotto,53
Leon_Balogun_54,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,302,0,0,0,0,18467,0,0,2019-04-16T18:45:00Z,4/16/2019 19:45,0,0,0,0,0,5,0,0,0,0,0,0,34,0,6305,0,0,0,2,0,0,0,-17,71,88,42,TRUE,0,0,Leon,Balogun,1,0,15,591,10,1.1,134,27,0,86,16.2,0,0,2,0.1,42,Leon,Balogun,54
Anthony_Knockaert_55,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,302,0,0,0,0,18469,0,0,2019-04-16T18:45:00Z,4/16/2019 19:45,0,0,0,0,0,5,0,0,0,0,0,0,34,0,76337,0,0,0,2,0,0,0,38494,45891,7397,52,TRUE,0,0,Anthony,Knockaert,2,6,70,1669,37,535.7,363.8,316,2,268,121.4,3,1,4,1,52,Anthony,Knockaert,55
