assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,id,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,33,0,30624,0,0,0,3,1,0,0,-17,84,101,47,FALSE,0,0,Shane,Duffy,5,2,102,2457,41,61.8,833.6,424,9,484,132.1,6,1,4,7.8,47,49,,,,,
0,28,0,0,0,8,0,5,18,0.3,0,0,0,1,1,0,1.6,13.6,0,0,0,90,0,0,2,0,0,0,0,2,0,33,0,279158,1,1,0,3,1,2,2,7573,9320,1747,47,FALSE,0,0,Bruno,Saltor Grau,0,1,32,709,9,66.1,114.8,14,4,149,19.5,3,0,2,0.3,44,50,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,33,0,19715,0,0,0,3,1,0,0,-71,135,206,41,FALSE,0,0,Gaëtan,Bong,0,0,42,1715,34,151.7,211.4,8,0,235,37,4,0,0,0.1,44,51,,,,,
0,16,0,0,0,9,0,2,11,8.9,0,0,0,0,1,0,1.8,9,0,0,0,90,0,2,2,0,0,0,0,2,0,33,0,27457,0,0,0,3,1,0,2,1560,2036,476,44,FALSE,0,0,Markus,Suttner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,38,52,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,33,0,13385,0,0,0,3,1,0,0,877,1125,248,42,FALSE,0,0,Ezequiel,Schelotto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,38,53,,,,,
0,2,0,0,0,3,0,0,1,0.1,0,0,0,0,0,0,0.2,2,0,0,0,8,0,0,2,0,0,0,0,0,0,33,0,69628,0,0,0,3,1,0,1,473,1328,855,55,FALSE,0,0,Leon,Balogun,1,0,15,591,10,1.1,134,27,0,86,16.2,0,0,2,0.1,42,54,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,33,0,1437,0,0,0,3,1,0,0,27,43,16,53,FALSE,0,0,Anthony,Knockaert,2,6,71,1602,32,528.2,363.8,314,2,273,120.7,3,0,4,0.8,52,55,,,,,
0,19,0,0,0,1,0,0,11,11.3,0,0,0,4,1,0,1.5,0,1,0,0,81,0,0,2,0,0,0,0,5,0,33,0,9822,0,0,0,3,1,4,1,28,128,100,52,FALSE,0,1,Dale,Stephens,1,1,53,1944,36,193.3,377.6,66,4,318,63.6,4,1,5,3.2,43,56,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,33,0,1283,0,0,0,3,1,0,0,2,32,30,54,FALSE,0,0,Beram,Kayal,1,1,28,712,11,53.7,189.4,49,0,117,29.3,3,0,4,0.3,44,57,,,,,
1,38,1,0,3,47,0,3,29,30.3,1,0,0,2,1,1,12.3,63.4,2,0,0,90,0,0,2,0,0,0,0,11,0,33,0,195899,1,1,0,3,1,29,13,2517,7564,5047,46,FALSE,1,0,Solomon,March,1,5,82,2127,36,600.8,411,290,5,303,130.3,5,0,1,0.7,48,58,,,,,
