first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,first_name,second_name,id
Andreas,Christensen,0,0,14,410,5,6.5,82.2,2,0,85,9.1,2,0,1,0.4,50,Andreas,Christensen,119
Davide,Zappacosta,0,0,3,35,0,0.8,3.8,21,0,4,2.5,0,0,0,0.1,50,Davide,Zappacosta,120
Emerson,Palmieri dos Santos,0,0,21,570,9,81.8,97,70,1,116,24.9,2,0,0,0.2,52,Emerson,Palmieri dos Santos,121
Eden,Hazard,16,12,217,2627,32,1269.3,1183.4,1391,31,785,384.8,11,0,2,30.1,110,Eden,Hazard,122
Cesc,Fàbregas,0,0,6,175,2,58.5,37,14,0,36,10.9,0,0,1,0.3,62,Cesc,Fàbregas,123
Willian,Borges Da Silva,3,7,104,1940,24,1090.6,541,718,6,459,235.1,10,0,1,4,71,Willian,Borges Da Silva,124
Pedro,Rodríguez Ledesma,8,1,102,1533,19,416.1,468.8,634,12,397,151.7,5,0,1,3.6,63,Pedro,Rodríguez Ledesma,125
N'Golo,Kanté,3,4,107,2948,35,729.2,634.4,357,3,526,172.3,14,0,3,18.1,50,N'Golo,Kanté,126
Ross,Barkley,3,5,76,1156,13,333.2,311.2,399,5,287,104.1,6,0,1,1.4,50,Ross,Barkley,127
Daniel,Drinkwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,46,Daniel,Drinkwater,128
Tiemoué,Bakayoko,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,49,Tiemoué,Bakayoko,129
Ethan,Ampadu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,Ethan,Ampadu,130
Callum,Hudson-Odoi,0,1,17,348,3,125.5,82.6,127,1,79,33.2,2,0,0,3,42,Callum,Hudson-Odoi,131
Ruben,Loftus-Cheek,5,2,64,706,7,177.3,316.4,261,5,224,75.5,3,0,0,0.6,52,Ruben,Loftus-Cheek,132
Olivier,Giroud,2,4,52,798,5,241.8,182.2,469,2,167,88.2,6,0,1,1.9,77,Olivier,Giroud,133
Álvaro,Morata,5,0,46,936,11,130.2,219.8,523,3,119,86.3,6,0,3,1.3,84,Álvaro,Morata,134
Wayne,Hennessey,0,0,67,1575,26,0,358.8,0,6,311,35.9,5,0,0,2.6,44,Wayne,Hennessey,135
Julian,Speroni,0,0,1,90,4,0,31.4,0,0,16,3.1,0,0,0,10.2,39,Julian,Speroni,136
Vicente,Guaita,0,0,66,1394,16,0,318,0,7,297,31.8,6,0,2,1.7,42,Vicente,Guaita,137
James,Tomkins,1,1,86,2561,37,83,560.8,276,0,504,92.3,10,0,6,3,43,James,Tomkins,138
Scott,Dann,0,0,12,391,6,1.6,109.6,8,0,71,12,1,0,1,0,44,Scott,Dann,139
Martin,Kelly,0,0,19,750,14,16.5,183.2,8,1,119,20.9,2,0,2,4.7,39,Martin,Kelly,140
Jeffrey,Schlupp,4,3,91,1660,26,240.5,385.2,430,3,301,105.7,4,0,1,4.3,45,Jeffrey,Schlupp,141
