assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,t_goals_scored,t_assists,points_per_game,t_minutes,t_goals_conceded,t_creativity,t_influence,threat_t,bonus_t,bps_t,ict_index_t,clean_sheets_t,red_cards_t,yellow_cards_t,selected_by_percent
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6305,0,0,0,2,0,0,0,-17,71,88,42,1,0,0,1,0,15,591,10,1.1,134,27,0,86,16.2,0,0,2,0.1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,76337,0,0,0,2,0,0,0,38494,45891,7397,52,1,0,0,2,6,70,1669,37,535.7,363.8,316,2,268,121.4,3,1,4,1
0,75,0,0,0,13,0,5,62,13.3,1,0,0,1,2,0,4.7,24.2,1,0,0,90,0,0,5,0,0,0,0,10,0,0,200895,2,0,1,2,0,9,2,769,6515,5746,43,1,0,0,1,1,57,2124,43,220.9,416,76,4,348,71.3,4,1,5,3.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,19011,0,0,0,2,0,0,0,-888,47,935,44,1,0,0,1,1,28,712,11,53.7,189.4,49,0,117,29.3,3,0,4,0.3
0,36,0,0,0,6,0,0,25,44.8,6,0,0,3,2,0,7,11.8,3,0,0,90,0,1,5,0,0,0,0,7,0,0,45359,8,1,3,2,0,13,2,-2097,1772,3869,48,1,0,0,1,5,84,2217,38,645.6,422.8,303,5,309,137.3,5,0,1,0.7
0,21,0,0,0,0,0,0,15,17.4,0,0,0,2,2,0,2.2,2.6,1,0,0,53,0,1,5,0,0,0,0,2,0,0,92072,3,0,0,2,0,2,1,1363,2176,813,67,1,0,0,2,2,59,1414,24,662.9,329.6,292,9,263,128.6,2,0,0,1.5
0,70,0,0,0,14,0,1,59,23.2,1,0,0,1,2,0,3.5,11.4,2,0,0,90,0,0,5,0,0,0,0,12,0,0,18500,2,0,0,2,0,0,2,4898,6209,1311,48,1,0,0,1,1,71,2537,45,279.1,389.2,121,3,348,79.2,4,0,2,0.3
0,7,0,0,0,3,0,0,6,10.8,0,0,0,0,0,0,1.4,0.4,1,0,0,21,0,0,5,0,0,0,0,1,0,0,5460,0,0,1,2,0,3,1,138,207,69,59,1,0,0,0,2,26,634,9,75.3,62.2,147,0,80,28.5,2,0,1,0.1
0,20,0,0,0,-1,0,0,15,2.4,0,0,0,1,2,0,1.1,0,0,0,0,90,2,0,5,0,0,0,0,1,0,0,350086,3,1,3,2,0,13,2,199503,218718,19215,63,1,0,0,11,0,106,2151,39,147.3,400.8,721,13,272,124.7,3,0,5,5.1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4042,0,0,0,2,0,0,0,-5,4,9,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
