assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,t_goals_scored,t_assists,points_per_game,t_minutes,t_goals_conceded,t_creativity,t_influence,threat_t,bonus_t,bps_t,ict_index_t,clean_sheets_t,red_cards_t,yellow_cards_t,selected_by_percent
-0.088235294,28,0,1,-0.588235294,-14.47058824,0.735294118,0,19,-9.452941176,1,0,0,1,-1.411764706,-11,-4.329411765,-17.81764706,0,0,0,-2.441176471,0,0,3,0,0,0,0,8,0,0,439324,4,0,3,5,0,-10.32352941,2,-57299,12669,69968,66,0,0,-0.088235294,11,0.088235294,129,77.44117647,1.411764706,14.45294118,17.81764706,27.32352941,0.588235294,12.47058824,5.929411765,0.264705882,0,0.088235294,6.6
0,0,0,0,0,-0.352941176,0,0,0,0,0,0,0,0,-0.058823529,0,-0.076470588,-0.088235294,0,0,0,-0.647058824,0,0,3,0,0,0,0,0,0,0,22322,0,0,0,5,0,-0.676470588,0,-43,3,46,56,0,0,0,0,0,4,0.647058824,0.058823529,0,0.088235294,0.676470588,0,0.352941176,0.076470588,0,0,0,0.4
0,19,0,0,-0.264705882,-3.176470588,-0.147058824,0,16,0,0,0,0,0,0.588235294,0,-0.558823529,-5.347058824,0,0,0,13.23529412,0,0,5,0,0,0,0,6,0,1,358894,0,0,0,2,0,0,1,148547,169400,20853,44,1,0,-0.058823529,0,0,85,76.76470588,1.411764706,0,16.54705882,0,0.264705882,13.17647059,1.658823529,0.147058824,0,0.058823529,5.6
-0.029411765,80,0,0,-0.176470588,-1.647058824,-0.176470588,2,61,7.823529412,0,0,0,0,0.558823529,-2,0.15,-6.305882353,1,0,0,10.55882353,0,0,5,0,0,0,0,9,-0.029411765,0,265521,0,0,0,2,0,0.294117647,1,91684,117294,25610,44,1,0,-0.117647059,2,0.029411765,80,79.44117647,1.441176471,3.576470588,20.10588235,5.705882353,0.176470588,14.64705882,2.95,0.176470588,0.029411765,0.117647059,4.1
-0.058823529,60,0,0,-0.264705882,-3.029411765,-0.176470588,6,44,-1.361764706,0,0,0,1,0.588235294,-5,1.923529412,2.694117647,0,0,0,12.44117647,0,0,5,0,0,0,0,9,-0.029411765,0,694170,1,0,0,2,0,17.55882353,1,271971,284884,12913,48,1,0,-0.117647059,5,0.058823529,103,77.55882353,1.411764706,2.161764706,26.10588235,13.44117647,0.264705882,15.02941176,4.176470588,0.176470588,0.029411765,0.117647059,10.7
-0.029411765,48,0,0,-0.117647059,11.14705882,-0.088235294,2,41,10.09117647,1,0,0,0,1.676470588,0,2.144117647,12.15294118,1,0,0,66.5,0,0,5,0,0,0,0,4,0,0,18310,0,1,0,2,0,-0.411764706,1,-163,121,284,44,1,0,-0.058823529,0,0.029411765,33,23.5,0.323529412,2.308823529,3.847058824,0.411764706,0.117647059,4.852941176,0.655882353,0.088235294,0,0.058823529,0.3
0,0,0,0,0,-6.911764706,-0.117647059,0,0,-4.461764706,0,0,0,0,-1,0,-1.088235294,-6.217647059,0,0,0,-50.44117647,0,0,5,0,0,0,0,0,0,0,9136,0,0,0,2,0,-0.235294118,0,266,420,154,44,1,0,0,0,0,42,50.44117647,1,4.461764706,6.217647059,0.235294118,0,6.911764706,1.088235294,0.117647059,0,0,0.1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,260786,0,0,0,2,0,0,0,-1832,3787,5619,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,109648,0,0,0,2,0,0,0,-397,2387,2784,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8
0,0,0,0,0,-2.529411765,0,0,0,-0.032352941,0,0,0,0,-0.294117647,-1,-0.476470588,-3.941176471,0,0,0,-17.38235294,0,0,5,0,0,0,0,0,0,0,6305,0,0,0,2,0,-0.794117647,0,-17,71,88,42,1,0,-0.058823529,1,0,15,17.38235294,0.294117647,0.032352941,3.941176471,0.794117647,0,2.529411765,0.476470588,0,0,0.058823529,0.1
