,assists,predF_pts_rf,predd_team_rf,first_name,second_name,,,,,,,,,,,,
101,-0.058823529,1.159666667,0.028533333,Callum,Paterson,,,,,,,,,,,,
304,-0.058823529,1.773666667,0.028366667,Frederico,Rodrigues de Paula Santos,,,,,,,,,,,,
508,-0.058823529,2.425,0.028266667,André Filipe,Tavares Gomes,,,,,,,,,,,,
507,-0.117647059,2.069333333,0.0282,Bernard,Anício Caldeira Duarte,,,,,,,,,,,,
479,-0.088235294,1.1839,0.027433333,Matt,Targett,,,,,,,,,,,,
135,0,1.455566667,0.0274,Wayne,Hennessey,,,,,,,,,,,,
127,-0.147058824,1.659533333,0.026466667,Ross,Barkley,,,,,,,,,,,,
36,-0.088235294,1.939966667,0.025833333,Junior,Stanislas,,,,,,,,,,,,
98,0,2.031333333,0.0257,Joe,Ralls,,,,,,,,,,,,
157,-0.058823529,2.394633333,0.025666667,Seamus,Coleman,,,,,,,,,,,,
110,-0.088235294,2.2012,0.025533333,Bobby,Reid,,,,,,,,,,,,
224,-0.058823529,1.670333333,0.0255,Marc,Albrighton,,,,,,,,,,,,
177,-0.088235294,0.888833333,0.025333333,Cenk,Tosun,,,,,,,,,,,,
410,-0.029411765,2.276433333,0.024766667,Arthur,Masuaku,,,,,,,,,,,,
502,0,0.439666667,0.024766667,Lucas,Pérez,,,,,,,,,,,,
464,0,2.367266667,0.024366667,Fabián,Balbuena,,,,,,,,,,,,
82,-0.058823529,2.345666667,0.024266667,Jack,Cork,,,,,,,,,,,,
511,0,1.6542,0.024266667,Timothy,Fosu-Mensah,,,,,,,,,,,,
252,-0.029411765,1.627233333,0.024233333,Georginio,Wijnaldum,,,,,,,,,,,,
327,0,1.559266667,0.0234,Jose Luis,Mato Sanmartín,,,,,,,,,,,,
94,-0.029411765,2.137633333,0.0225,Joe,Bennett,,,,,,,,,,,,
590,-0.029411765,0.612948485,0.0225,Peter,Crouch,,,,,,,,,,,,
158,0,1.620366667,0.022233333,Phil,Jagielka,,,,,,,,,,,,
354,-0.117647059,3.774433333,0.022166667,Danny,Rose,,,,,,,,,,,,
201,-0.029411765,2.178566667,0.022033333,Jonathan,Hogg,,,,,,,,,,,,
222,0,1.295733333,0.022,Jonny,Evans,,,,,,,,,,,,
198,-0.029411765,2.3161,0.0218,Terence,Kongolo,,,,,,,,,,,,
262,0,1.8806,0.021766667,John,Stones,,,,,,,,,,,,
152,0,1.980933333,0.021266667,Christian,Benteke,,,,,,,,,,,,
180,0,1.6575,0.021066667,Tim,Ream,,,,,,,,,,,,
453,-0.029411765,0.6255,0.020966667,Andriy,Yarmolenko,,,,,,,,,,,,
463,0,2.302333333,0.0209,Jannik,Vestergaard,,,,,,,,,,,,
451,0,1.966366667,0.020733333,Matteo,Guendouzi,,,,,,,,,,,,
345,-0.088235294,0.873066667,0.0203,Stuart,Armstrong,,,,,,,,,,,,
4,-0.147058824,1.275866667,0.020233333,Héctor,Bellerín,,,,,,,,,,,,
513,-0.117647059,0.811433333,0.0196,Luciano,Vietto,,,,,,,,,,,,
405,-0.029411765,2.163533333,0.019,Pablo,Zabaleta,,,,,,,,,,,,
136,0,0.540633333,0.018966667,Julian,Speroni,,,,,,,,,,,,
318,-0.029411765,0.9657,0.0189,Jonjo,Shelvey,,,,,,,,,,,,
363,-0.058823529,0.963733333,0.0188,Erik,Lamela,,,,,,,,,,,,
382,0,2.085933333,0.018266667,Adrian,Mariappa,,,,,,,,,,,,
503,-0.029411765,2.078433333,0.018266667,Martín,Montoya,,,,,,,,,,,,
455,-0.029411765,1.912733333,0.017966667,Maxime,Le Marchand,,,,,,,,,,,,
241,0,0.864733333,0.017866667,Nathaniel,Clyne,,,,,,,,,,,,
106,-0.029411765,1.316466667,0.017633333,Josh,Murphy,,,,,,,,,,,,
361,0,0.538266667,0.0175,Eric,Dier,,,,,,,,,,,,
543,-0.029411765,0.773633333,0.017466667,Divock,Origi,,,,,,,,,,,,
332,-0.058823529,0.9653,0.0174,Cédric,Soares,,,,,,,,,,,,
12,-0.058823529,1.638333333,0.0173,Sokratis,Papastathopoulos,,,,,,,,,,,,
197,0,2.0651,0.017,Florent,Hadergjonaj,,,,,,,,,,,,
60,-0.029411765,1.961,0.016933333,Davy,Pröpper,,,,,,,,,,,,
380,0,1.9104,0.0168,Christian,Kabasele,,,,,,,,,,,,
193,-0.088235294,1.9183,0.0167,Chris,Löwe,,,,,,,,,,,,
